feature,dominant_pc,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44
delta_cpu_ns,22,0.028258918800687052,-0.042447218613256246,-0.07589401528232298,0.4154388772140143,0.4494148551942894,-0.11881422712737655,0.002589848807273846,-0.0735972293272252,-0.009871799493283474,-0.0072790591478419054,-0.001454731649506894,-0.005992553007082289,0.020464206758964768,-0.010959926020070546,0.021212399661267502,-0.019653534578889142,-0.06773270044257179,-0.00678441972522257,0.029270423291963363,-0.2566286863093497,0.31796983916409954,0.6397144393397005,-0.09876128338282789,0.0006750563404679929,0.025231104508997654,-0.06127767884817351,-0.010645700457049899,-0.005060367187989128,1.1808014065021877e-05,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,2.959344394906508e-16,0.0,-0.0,-0.0,-0.0,0.0
delta_io_bytes,9,0.1396051680254404,-0.23287467498646414,0.00934038452672098,0.2046880495826261,-0.03301869339338337,0.008284815385598263,0.0998616050949604,0.05399979963754577,0.6021953936505074,-0.05099962562988129,-0.020859947313808587,0.0027832343336298363,0.013455374449987227,0.035103905972286326,-0.04129692981858925,0.02546441961268198,-0.296190299506328,-0.4788520507457557,0.05942116170037149,-0.02845083856394464,0.02866907467583915,-0.1631875004777531,0.0501121632202563,0.025295107802902103,0.020287403335978046,0.024766270727598114,0.07510078358911991,0.3770428029573992,-8.569139250699459e-05,-9.462818006500426e-16,5.948619331338466e-17,-3.306318978942014e-15,1.4246896137157149e-15,-3.9147088428503073e-16,-1.0426079148012773e-30,-4.408639786624353e-30,-2.682105632397002e-30,8.424431792856124e-16,-1.3070861063381712e-15,-1.478659977245624e-15,1.6439324443888202e-15,6.459992278468469e-16,-1.2947018019588828e-15,-1.5733960842250292e-15
delta_net_send_bytes,27,0.3710363996536062,0.13653587419879967,-0.2048691857536067,-0.322147874292525,0.21488303309482823,-0.13061867332327787,-0.20487311744653514,0.028897249912707652,0.08598168749538844,0.1239665477292066,0.017006049276647284,-0.004325372570246765,0.00464536679551521,-0.024570712414782373,0.025334694525900522,-0.013815208825505871,0.017481508199020637,0.035412870196757734,-0.06544577295767312,0.0013423054653670405,-0.07055306264723515,0.0336016744154043,-0.03935493157868673,-0.01834588650024722,0.18190741240807867,-0.14060547091790365,0.7064959094164653,0.039183429530198204,-2.4953327741889217e-05,9.715251523889798e-16,-2.128032027235143e-16,7.365337959756435e-16,-4.277268775788737e-17,-2.8551001034451683e-16,9.32652713957257e-32,1.99504712935766e-31,3.778017989544702e-32,6.880506302869575e-16,-1.2177144513233546e-15,7.283733789038294e-16,1.1507832210137264e-15,1.9802578320190216e-15,2.4762302433789185e-16,-8.074775850011685e-16
context_switches,42,0.0,5.551115123125783e-17,8.326672684688674e-17,0.0,-4.163336342344337e-17,-1.3877787807814457e-16,3.2959746043559335e-17,5.551115123125783e-17,-3.9898639947466563e-16,4.2327252813834093e-16,9.6710833785707e-17,-1.3530843112619095e-16,-2.914335439641036e-16,7.979727989493313e-17,-7.632783294297951e-17,-2.3592239273284576e-16,-8.326672684688674e-17,1.3704315460216776e-16,-4.440892098500626e-16,-1.1102230246251565e-16,6.938893903907228e-18,4.163336342344337e-17,1.6653345369377348e-16,-6.331740687315346e-17,-4.996003610813204e-16,7.771561172376096e-16,-3.3306690738754696e-15,-5.023759186428833e-15,4.289470796788042e-13,0.18409260150283285,-0.06999951114805521,-0.0829646900088652,0.16017555546234552,-0.11440229886907233,-8.22923306721218e-18,-1.173302582816792e-16,-1.2554470065890747e-16,0.2972963050618529,-0.12036172555773614,0.049766133282457645,0.5289965826632785,0.6517793510760046,0.021185234429638572,-0.324239912792379
syscall_count,29,0.43388581963982337,-0.3424614027961736,0.018382143840600555,0.03311173452523159,-0.09350205194737857,0.022369193432348253,0.009879458159332489,-0.0027450842902253052,-0.04325209713344708,0.036392485501821774,0.008183991197596595,-0.0017030436513929467,0.0011055437066961836,-0.01065035342008996,0.00886514723472026,-0.0041633477847530095,0.020435416159473044,0.034318412173121295,-0.00621196974911943,0.007853958980466504,-0.04043060417177421,0.024899582318754377,-0.022872267714861252,-0.016743264906869545,-0.016775095823422882,-0.02261023700051544,-0.10539454065394466,-0.22204692387628372,0.7837384908485475,-4.2783433271428693e-13,-5.1375472826612745e-14,-1.4268115784082365e-12,1.0677537937486037e-12,-3.1478375190726467e-13,-1.955237498164704e-29,-2.748421868450964e-28,-4.716033142047302e-28,7.798936338557933e-13,2.0085003988302865e-11,-9.13107660263879e-13,1.5280936659795438e-12,1.0138569372886026e-12,-2.1035187188553956e-14,-5.380489737425626e-13
delta_rss_memory,6,-0.0025422688814360377,-0.009172733965519927,0.1278203613408592,-0.05431812044132174,-0.02554354603387865,-0.5726163294715807,0.342262644989839,0.34834476142590093,-0.0882486411318223,0.03484397357453789,-0.006493237466391747,0.002905597140133151,0.0038556885457772592,0.016980079031427685,-0.03416626483703459,0.03704916927946682,-0.1604000288610302,0.05753295755139868,-0.010979137889641218,-0.05638523331005828,-0.2836645681761557,0.18091219337692976,0.4972090113790664,0.09424999390196039,0.007112859231639828,0.002987396530965551,0.00178774291609383,-0.00021314043568714831,-5.1614609000322284e-06,-2.3528411979790803e-17,-6.336181190046213e-18,2.842321065533085e-16,3.868165095174458e-17,1.738969597556945e-17,3.0552419669479643e-31,1.2586490892553396e-30,6.366125319440636e-31,-2.9286407637118733e-17,-1.2545522919087138e-16,-1.3314899712707344e-16,-2.191423923217345e-17,-9.119366932653918e-17,3.156614950447189e-16,4.0922227407477296e-16
delta_cpu_time_psutil,32,-8.673617379884035e-19,0.0,1.1102230246251565e-16,-5.551115123125783e-17,5.551115123125783e-17,-5.551115123125783e-17,-2.42861286636753e-17,-5.551115123125783e-17,7.927686285214008e-16,-7.7021722333370235e-16,-2.2876665839444144e-16,-1.6609977282477928e-16,3.694961003830599e-16,-1.2836953722228372e-16,-1.734723475976807e-18,2.688821387764051e-17,4.649058915617843e-16,-6.032500887709347e-16,3.8163916471489756e-16,5.551115123125783e-17,2.7755575615628914e-17,6.591949208711867e-17,1.942890293094024e-16,1.8518173106052416e-16,0.0,1.942890293094024e-16,-2.1649348980190553e-15,9.769962616701378e-15,7.970081625924275e-12,0.4067302944228276,-0.01987742330436542,0.6200502053973438,-0.3581242895370663,0.03178931252532541,-5.8131591579340986e-18,2.391379178615471e-17,1.0482938472506275e-16,-0.07632083023059018,-0.2091512463452968,0.4476393598371161,-0.20533028666834993,0.162289554560703,-0.005855514983744605,-0.044347588797428464
delta_cpu_time_proc,22,0.03473993115611191,-0.039579836522788556,-0.06392044785466071,0.35307553512231604,0.4153374291379558,-0.14336608199332546,-0.0008932066418914948,-0.16860586979791023,-0.17252653143408045,0.054779306405048175,-0.06462942262466485,0.005183170079143581,-0.03773091985739697,0.05865996716830161,0.017614663538637422,-0.023936045503314584,0.17913719033662548,0.017561668809194287,0.005989488265259587,-0.40168942090387777,-0.27143515435134646,-0.577079616278093,0.05981262038537803,0.0051428047386161534,-0.0019005921516695521,0.009956546283462918,0.001625859813299462,0.008758610826342262,3.0451412482792457e-05,-6.764894381080141e-17,-3.2871503637633555e-17,1.54250870146029e-16,1.0129537407713263e-16,-2.3426493202594576e-17,2.5475570440492386e-31,9.907701875620106e-31,4.788944798626311e-31,5.385290385242519e-17,7.825337297805814e-16,-6.396383519027609e-17,1.1015022204502978e-16,7.438991425803357e-17,3.44116058974676e-16,2.1360567669740268e-16
delta_instructions,16,0.0018653250725185362,-0.0026573150711951634,-0.009854111723331182,0.060071408078701365,0.07105156496116237,-0.022646887747073748,-0.0030824047052203057,-0.0498921611295946,-0.009517877647288758,-0.10875728924404783,0.4307782880649583,-0.04214791147065218,-3.938931715127175e-05,-0.37755545376526933,0.2574841413458976,0.7548869662906147,-0.03563597117128273,0.020323512653811018,-0.008933081360543698,0.0693313816299074,-0.02927937504967633,-0.052851447599162604,0.00604263434515995,0.0007448533812584863,0.0005322052967745295,-0.0008205748108423228,-2.0272467021311202e-05,-2.639909190579672e-05,5.612814262484934e-07,2.708920063737451e-16,1.145813404504622e-16,-5.034189585590703e-16,-8.314417419133216e-17,-1.1923718838041554e-17,-6.040538977327984e-31,-2.228882989238617e-30,-1.1156809896797416e-30,-2.1560341293049396e-17,-3.4233477169389263e-17,2.0414837772436796e-17,3.296461758656203e-17,9.049189079906726e-17,-9.071076461437033e-16,-5.085386240468309e-16
delta_cycles,12,0.0002243078644512148,-0.0007308813070197235,-0.0034741918218825106,0.01572416442835859,0.018916314496900257,-0.002043735100127595,-0.004093158139769007,-0.025193362073371528,-0.013984256555673681,0.036811272742432975,-0.0762345474528328,0.7602679175719625,0.5591060164481443,-0.19576601444889472,-0.2379951683911671,0.06705949417867389,0.02210939952032433,0.0032914486716079847,-0.0045023130055763146,0.021304058884355107,-0.008544494792419905,-0.015563334235181584,0.0020731753849889322,-0.00017586735956341275,-0.00043333186206714875,0.0009460092392555578,0.00011831278404690329,2.4240359510330622e-05,-1.6051620749799385e-07,8.225125417531431e-17,6.905994606307615e-17,-2.409018422852367e-16,-2.840420503201371e-17,-7.939048971630784e-17,-2.4310847723965222e-31,-8.777420273003113e-31,-4.939777210720219e-31,1.598935698977909e-16,2.8307739370335106e-17,4.969294952118452e-17,2.245495785269803e-17,1.319448226182835e-16,5.420161344994322e-17,-1.738999046324804e-16
delta_branch_instructions,15,0.0009164721102063822,-0.0021050727170111795,-0.007532118080883456,0.044911416728196006,0.054255803708857055,-0.018781254923007126,4.606481280038695e-05,-0.033156143630040706,-0.014331592002481576,-0.064641439625017,0.5336611033046669,-0.08938309156001714,-0.16624922539224463,-0.4292778594943839,-0.5905427897450894,-0.35540136244380116,-0.06600067749317516,0.027532868847517242,-0.0038394771551224804,0.03535605748972389,-0.02485790396733432,-0.04857126977909771,0.005426866916391384,2.3288880191875892e-05,-0.0006756041971762326,0.001618958389939269,0.0001531776189641609,5.59816154045574e-05,-1.5183478972226088e-07,2.0737092759594725e-17,-1.4398213189886093e-16,1.9577987002429085e-16,-1.3778888930560033e-16,-4.2214790520567475e-18,2.770605530560524e-31,9.204208382437574e-31,4.778422634960989e-31,-3.432742270408065e-17,1.1704217009748268e-16,2.002726322183099e-17,-2.1090916905837543e-17,-3.240054159836209e-17,3.23256172214864e-16,2.84220067072565e-16
delta_cache_misses,18,0.014153412948683249,-0.029841386127637336,-0.022023916983905052,0.15626422394787073,0.1378778146738402,-0.016268605063026926,0.025091854161313085,0.019671958675481792,0.44539022781642146,-0.37125544570968233,-0.0898007920937379,0.016961610096969053,0.006496131681606161,0.07821895717950528,-0.006170945276166597,-0.0308703222497834,-0.05951217186763759,0.7319605645523213,-0.04960170682229425,0.22578422568259846,-0.05369645928646611,-0.07948609802788222,0.00201401072362921,-0.0030070015318149883,-0.005100257199021119,0.004427350731508004,0.00066633861783604,-0.0005876154518967183,-4.953278040524581e-06,9.486650459484589e-17,-3.466861897898857e-18,-3.7678491361083826e-16,-2.1575342821737615e-17,8.280049735521153e-17,-4.044285750929676e-31,-1.611747978549476e-30,-8.370176827374933e-31,-8.357650333882694e-17,-1.6512875554137738e-16,1.5263949793255683e-16,5.127567441018625e-17,1.257306044185247e-16,-5.352159899280075e-16,-3.321911741090405e-16
delta_stalled_cycles_backend,17,0.010098113882850049,-0.020754119622181995,-0.0326648393766572,0.18847014439273152,0.20491841306041697,-0.0476347703014568,0.028050331820393574,0.27965763638631097,0.05454917338891093,-0.04800048841662332,-0.02143764276835109,0.02207841603778814,-0.11175891626176468,0.09934414638386836,-0.15111988551541294,0.08515780344306664,0.6715549928632041,-0.2598088733110557,-0.0807362873767242,0.5016157472781505,-0.020566006726205732,0.05316947123891217,0.03258147180252192,0.003264726902633164,-0.0007242843212805971,0.0011199540006623654,0.00019958288855837777,-0.0009712618168454468,-3.792825294240843e-06,-1.2978175409544546e-16,-1.746929575791992e-17,-6.613869722703159e-16,9.530974931691777e-18,9.62801446510725e-18,-4.496181444848739e-31,-1.8741106546248106e-30,-9.336135326030489e-31,-2.5814584413361083e-17,-3.086191329813935e-17,-3.816307395218372e-17,-5.328489847766099e-17,-2.0497400401050933e-16,-4.830094724830505e-16,-5.289727356813817e-16
delta_llc_load_misses,39,0.0,0.0,0.0,0.0,1.3877787807814457e-17,-0.0,-7.979727989493313e-17,-0.0,-1.942890293094024e-16,3.382710778154774e-16,-1.0495077029659683e-16,6.591949208711867e-17,-9.020562075079397e-17,2.5673907444456745e-16,-6.938893903907228e-18,-2.1510571102112408e-16,0.0,7.632783294297951e-17,-1.8041124150158794e-16,-3.122502256758253e-17,-1.1102230246251565e-16,-0.0,-5.551115123125783e-17,-1.734723475976807e-16,-3.3306690738754696e-16,-1.6653345369377348e-16,1.1796119636642288e-16,-9.228728892196614e-16,-1.7130820525144974e-11,0.5122658777199584,-0.08856964875091798,0.00036933265447697955,-0.1629950573917986,-0.0337864114075597,1.607741755863889e-17,9.745685475519993e-17,1.9537296553721142e-17,0.058347614893640626,0.6709749816491287,-0.22963110119154412,0.09418121070588267,0.046479704673725995,-0.36042172120160126,0.2339945465167912
delta_llc_store_misses,39,2.5849394142282115e-26,4.235164736271502e-22,-6.938893903907228e-18,3.469446951953614e-18,-0.0,-0.0,1.0408340855860843e-16,-5.551115123125783e-17,3.2786273695961654e-16,-4.2327252813834093e-16,-2.1684043449710089e-16,-9.71445146547012e-17,2.7755575615628914e-17,-1.942890293094024e-16,2.7755575615628914e-17,2.220446049250313e-16,1.6653345369377348e-16,-2.983724378680108e-16,3.7470027081099033e-16,-5.551115123125783e-17,2.7755575615628914e-17,-1.3877787807814457e-17,-2.7755575615628914e-17,-3.0531133177191805e-16,-3.3306690738754696e-16,-8.326672684688674e-17,7.28583859910259e-17,-5.412337245047638e-16,-1.3929085315722567e-11,-0.40164644140616185,0.45911105840378497,0.4315152319269109,0.10839780008696284,-0.04633912806676396,-1.0081200541866532e-16,-4.265010484201804e-18,5.3120674654651514e-17,-0.04849705124521859,0.548487312883029,0.016078664040194333,-0.03150723785871829,0.19298507920832966,0.11702221745164978,-0.26910112020619414
delta_cpu_migrations,40,-1.6155871338926322e-27,-2.6469779601696886e-23,1.734723475976807e-18,1.734723475976807e-18,-1.734723475976807e-18,-0.0,2.7755575615628914e-17,2.7755575615628914e-17,2.636779683484747e-16,-3.469446951953614e-16,1.2836953722228372e-16,3.469446951953614e-17,2.7755575615628914e-17,-1.1102230246251565e-16,-5.551115123125783e-17,-1.942890293094024e-16,5.551115123125783e-17,-1.5612511283791264e-16,1.457167719820518e-16,0.0,0.0,-5.551115123125783e-17,-8.326672684688674e-17,8.673617379884035e-17,-1.6653345369377348e-16,-5.551115123125783e-17,1.214306433183765e-17,-5.637851296924623e-17,1.005219085054021e-11,-0.017352381235960758,0.42805672405292283,0.3143768671355847,0.12590095041609609,-0.05269852041858723,-2.653873088706137e-16,-3.3679755300478723e-16,-2.107141638770627e-16,0.2895581061662859,-0.401693299186975,-0.44392472387002385,-0.0265710855950882,0.05529976077485751,-0.41421194112949306,0.285305372664855
delta_page_faults_min,8,0.0028060943106404594,0.0027560129353869475,-0.06555315546856474,0.1064883666807471,0.11478673009944158,0.14168824949710282,0.004433132652400201,0.787695328653875,-0.18628364078476736,0.14560663359969225,0.0023261313196846194,-0.00371992139800613,0.00880246423720671,0.012105719631534699,-0.04234182508644218,0.05575476939966758,-0.270383911677729,0.10378460975844414,0.0369134307618954,-0.032672721987458804,0.16117856079690845,-0.21226857019304832,-0.32953622327908055,-0.06000924465918915,-0.003300896426293735,-0.00357167274373499,-0.0007271342487623453,0.0003354506903470317,4.5694221721104575e-06,1.120935044956092e-16,2.8258282354237126e-17,7.830633805602832e-16,-2.4344788634784796e-17,-4.56854677745573e-18,5.765640787502726e-31,2.3808675330701964e-30,1.2087752291696117e-30,6.679096148426562e-17,1.7721398764511518e-17,-4.2247488607774164e-17,4.015795473508251e-17,9.23713917295527e-17,6.198368177540981e-16,6.65870254941288e-16
delta_page_faults_maj,15,0.0006093017263823319,-0.0008254847974166848,0.0045456081707548135,0.02505111364250201,0.032989624060051244,-0.0775395767115617,0.07391296288722188,0.14052948858599448,-0.01010848546191728,-0.23190637122016028,0.10900691122171886,-0.02676932866944121,0.25636958472600113,-0.3844914384866378,0.6288256037485143,-0.5038732513973576,0.11528940027701484,-0.11402834633418463,0.0049259019172276375,0.07737367573557791,0.010857953196728807,-0.06111697863189414,-0.03869404936433573,-0.00552649691237964,0.0003288211935485367,-0.001203985092758596,0.00010596669595155842,8.72926290374514e-05,9.027891347937421e-07,-7.516426530884763e-17,-2.822140071348192e-19,-6.24020568375059e-16,3.9052032982204194e-17,-1.1127172360670814e-18,-4.083089934198652e-31,-1.714774773437322e-30,-8.737446482725872e-31,-5.829210876106822e-17,9.713391807591918e-17,9.735181326258049e-17,2.174635289160596e-17,-3.768541866428284e-17,-4.147971838903742e-16,-5.816523580093182e-16
delta_stalled_cycles_frontend,12,0.00028426573747828766,-0.0008489562021763706,-0.003660298825056409,0.02243037814756556,0.028018679107743215,-0.010938097902963535,-0.0002925175668710268,-0.03617859468247619,-0.026941565099336578,0.034077934837723284,-0.4749663741557352,-0.5765844068516909,0.4510968440824855,-0.38230384630429337,-0.2568292556565444,0.12442385650342666,0.007354128340428424,-0.006671439010045939,-0.007743408006340525,0.07485772300471022,-0.010547665125155608,-0.019228477477256544,0.0028260647944255506,8.96559164588542e-05,-0.0003321295274439416,0.0008446153611637974,0.00018163946475487273,1.4793389305753328e-05,-2.484901869504821e-07,3.662941861633944e-17,1.4948167913898288e-16,-6.579832166603377e-16,-1.473222411854314e-16,-5.277410392741598e-17,-5.030964387837272e-31,-2.027876440427788e-30,-1.0229529803255071e-30,-2.6003880024264885e-17,-1.9810149767268536e-17,-1.2567886541276352e-16,-5.600743734921222e-17,-7.373031011741341e-17,-7.474579296909472e-16,-4.964905437906019e-16
delta_branch_misses,44,0.0,3.2311742677852644e-27,0.0,-6.776263578034403e-21,-0.0,-5.421010862427522e-20,-8.326672684688674e-17,-1.0408340855860843e-16,1.4710455076283324e-15,-1.7208456881689926e-15,-5.0306980803327406e-17,-3.677613769070831e-16,6.938893903907228e-16,-2.2898349882893854e-16,1.6653345369377348e-16,7.216449660063518e-16,5.551115123125783e-16,-9.97465998686664e-16,1.0156805951844206e-15,5.377642775528102e-17,3.469446951953614e-18,-1.734723475976807e-18,-1.734723475976807e-18,1.1102230246251565e-16,0.0,0.0,2.710505431213761e-19,-9.540979117872439e-18,-2.7861046802968303e-12,-0.2474146813097013,-0.12666729770629642,0.05774089953792812,-0.17947728475730665,0.013050111929295418,-9.938900382576605e-17,-1.1036934948116718e-16,-1.4925021372511156e-16,0.44673595595208043,0.11100439880180119,0.12424984689914448,0.01955629073157371,0.2160488942049855,0.4207492686559532,0.6600018355295753
delta_ref_cpu_cycles,33,-7.703719777548943e-34,-4.0389678347315804e-28,1.6940658945086007e-21,8.470329472543003e-22,-3.3881317890172014e-21,-5.421010862427522e-20,-4.163336342344337e-17,-2.7755575615628914e-17,2.220446049250313e-16,2.7755575615628914e-17,7.632783294297951e-17,-1.3877787807814457e-16,1.457167719820518e-16,-7.025630077706069e-17,-1.3183898417423734e-16,2.7755575615628914e-17,-2.7755575615628914e-17,5.551115123125783e-17,-1.1102230246251565e-16,-6.938893903907228e-18,-2.6020852139652106e-18,1.734723475976807e-18,1.734723475976807e-18,1.1102230246251565e-16,-3.0357660829594124e-18,-1.0842021724855044e-18,2.778268066994105e-19,-1.0598076236045806e-17,-3.037070595013347e-12,0.15867983287482854,-0.1786418467048502,0.1576872045882385,0.6755247121795651,0.12750558535246845,-4.059509012944135e-17,-2.3455947486421205e-16,-1.482501927085493e-16,0.4671130456565338,0.12100822363983829,0.30308114740859027,-0.18984717322651157,-0.27641944777254135,-0.06607073670913757,-0.06277311230711916
delta_l1d_load_misses,31,0.0,0.0,-2.117582368135751e-22,-2.117582368135751e-22,4.235164736271502e-22,6.776263578034403e-21,2.0816681711721685e-17,3.469446951953614e-17,-4.440892098500626e-16,5.551115123125783e-16,7.632783294297951e-17,-8.326672684688674e-17,-2.498001805406602e-16,1.5265566588595902e-16,0.0,-2.498001805406602e-16,-1.6653345369377348e-16,3.122502256758253e-16,-2.220446049250313e-16,-6.938893903907228e-18,-6.505213034913027e-19,4.336808689942018e-19,4.336808689942018e-19,1.734723475976807e-17,-5.421010862427522e-19,-1.3552527156068805e-19,2.964615315390051e-20,-1.0706496453294356e-18,-3.04790914729125e-13,0.20431812079800624,0.6948396850509788,-0.39774633588936686,-0.05585927331941723,-0.030961300411640878,-9.166232636733725e-17,-9.271396693135263e-17,-4.817861581106749e-17,0.08079512324245838,0.012143939938786001,0.4989709241900232,0.1357490736926434,-0.13860355863091928,-0.027411035380232193,0.13832381068069294
